Time,Futu USD/THB Price (A),USD/THB Price Change,P2P Ad Price (B),Is Best Price in P2P,Auto Pricing Strategy (B/A),Auto Pricing Strategy (B-A)
2023-09-28 18:05:25,36.726,-,36.6,"No, Best Price is 36.68",0.9965691880411698,-0.12599999999999767
2023-09-28 18:05:35,36.727,0.00%,36.6,"No, Best Price is 36.68",0.9965420535301006,-0.12699999999999534
